State,State Abbr,County,GEO id2,GEO display_label,Households,Poverty_Percentage,ALICE_Percentage,Below_ALICE_Threshold_Percentage,Above_ALICE_Percentage
North Dakota,ND,Emmons,38029.0,"Emmons County, North Dakota",1516,12.27,25.66,37.93,62.07
North Dakota,ND,Foster,38031.0,"Foster County, North Dakota",1515,13.73,15.51,29.24,70.76
North Dakota,ND,Golden Valley,38033.0,"Golden Valley County, North Dakota",663,15.38,21.72,37.1,62.9
North Dakota,ND,Grand Forks,38035.0,"Grand Forks County, North Dakota",31045,14.96,20.66,35.61,64.39
North Dakota,ND,Grant,38037.0,"Grant County, North Dakota",1072,18.66,27.33,45.99,54.01
North Dakota,ND,Griggs,38039.0,"Griggs County, North Dakota",946,13.11,27.59,40.7,59.3
North Dakota,ND,Hettinger,38041.0,"Hettinger County, North Dakota",1107,11.56,26.56,38.12,61.88
North Dakota,ND,Kidder,38043.0,"Kidder County, North Dakota",1129,11.25,27.19,38.44,61.56
North Dakota,ND,LaMoure,38045.0,"LaMoure County, North Dakota",1712,9.4,25.53,34.93,65.07
North Dakota,ND,Logan,38047.0,"Logan County, North Dakota",773,11.9,28.85,40.75,59.25
North Dakota,ND,McHenry,38049.0,"McHenry County, North Dakota",2265,11.13,22.08,33.2,66.8
North Dakota,ND,McIntosh,38051.0,"McIntosh County, North Dakota",1191,17.88,23.09,40.97,59.03
North Dakota,ND,McKenzie,38053.0,"McKenzie County, North Dakota",5910,8.71,16.94,25.65,74.35
North Dakota,ND,McLean,38055.0,"McLean County, North Dakota",4261,9.15,16.73,25.89,74.11
North Dakota,ND,Mercer,38057.0,"Mercer County, North Dakota",3594,9.1,23.73,32.83,67.17
North Dakota,ND,Morton,38059.0,"Morton County, North Dakota",13529,6.53,25.91,32.44,67.56
North Dakota,ND,Mountrail,38061.0,"Mountrail County, North Dakota",3839,12.27,21.41,33.68,66.32
North Dakota,ND,Nelson,38063.0,"Nelson County, North Dakota",1295,8.88,28.42,37.3,62.7
North Dakota,ND,Oliver,38065.0,"Oliver County, North Dakota",727,7.29,22.42,29.71,70.29
North Dakota,ND,Pembina,38067.0,"Pembina County, North Dakota",2959,8.79,27.54,36.33,63.67
North Dakota,ND,Pierce,38069.0,"Pierce County, North Dakota",1840,14.18,26.58,40.76,59.24
North Dakota,ND,Ramsey,38071.0,"Ramsey County, North Dakota",5185,14.77,27.41,42.18,57.82
North Dakota,ND,Ransom,38073.0,"Ransom County, North Dakota",2305,9.07,23.95,33.02,66.98
North Dakota,ND,Renville,38075.0,"Renville County, North Dakota",922,6.07,20.82,26.9,73.1
North Dakota,ND,Richland,38077.0,"Richland County, North Dakota",6764,13.25,22.87,36.12,63.88
North Dakota,ND,Rolette,38079.0,"Rolette County, North Dakota",3686,24.77,25.91,50.68,49.32
North Dakota,ND,Sargent,38081.0,"Sargent County, North Dakota",1734,6.34,19.78,26.12,73.88
North Dakota,ND,Sheridan,38083.0,"Sheridan County, North Dakota",676,12.43,17.6,30.03,69.97
North Dakota,ND,Sioux,38085.0,"Sioux County, North Dakota",1067,36.08,30.08,66.17,33.83
North Dakota,ND,Slope,38087.0,"Slope County, North Dakota",340,8.82,29.71,38.53,61.47
North Dakota,ND,Stark,38089.0,"Stark County, North Dakota",13217,11.44,20.99,32.43,67.57
North Dakota,ND,Steele,38091.0,"Steele County, North Dakota",731,12.45,23.39,35.84,64.16
North Dakota,ND,Stutsman,38093.0,"Stutsman County, North Dakota",9295,15.54,24.87,40.41,59.59
North Dakota,ND,Towner,38095.0,"Towner County, North Dakota",958,14.82,25.99,40.81,59.19
North Dakota,ND,Traill,38097.0,"Traill County, North Dakota",3316,9.65,17.28,26.93,73.07
North Dakota,ND,Walsh,38099.0,"Walsh County, North Dakota",4450,11.39,24.25,35.64,64.36
North Dakota,ND,Ward,38101.0,"Ward County, North Dakota",28290,10.05,19.1,29.15,70.85
North Dakota,ND,Wells,38103.0,"Wells County, North Dakota",1808,10.56,29.98,40.54,59.46
North Dakota,ND,Williams,38105.0,"Williams County, North Dakota",15308,8.94,23.65,32.58,67.42
Texas,TX,Anderson,48001.0,"Anderson County, Texas",17142,15.87,35.64,51.51,48.49
Texas,TX,Andrews,48003.0,"Andrews County, Texas",6780,13.82,24.13,37.95,62.05
Texas,TX,Angelina,48005.0,"Angelina County, Texas",31996,18.09,32.53,50.62,49.38
Texas,TX,Aransas,48007.0,"Aransas County, Texas",11738,17.69,26.95,44.63,55.37
Texas,TX,Archer,48009.0,"Archer County, Texas",3439,11.05,28.64,39.69,60.31
Texas,TX,Armstrong,48011.0,"Armstrong County, Texas",754,6.9,27.19,34.08,65.92
Texas,TX,Atascosa,48013.0,"Atascosa County, Texas",16635,17.8,28.85,46.65,53.35
Texas,TX,Austin,48015.0,"Austin County, Texas",12174,16.94,21.92,38.86,61.14
Texas,TX,Bailey,48017.0,"Bailey County, Texas",2250,16.62,29.11,45.73,54.27
Texas,TX,Bandera,48019.0,"Bandera County, Texas",8943,14.42,30.34,44.76,55.24
Texas,TX,Bastrop,48021.0,"Bastrop County, Texas",38591,10.91,38.64,49.55,50.45
Texas,TX,Baylor,48023.0,"Baylor County, Texas",1548,21.25,34.75,56.01,43.99
Texas,TX,Bee,48025.0,"Bee County, Texas",8581,19.61,39.59,59.2,40.8
Texas,TX,Bell,48027.0,"Bell County, Texas",145863,11.53,26.86,38.39,61.61
Texas,TX,Bexar,48029.0,"Bexar County, Texas",758070,13.73,30.86,44.59,55.41
Texas,TX,Blanco,48031.0,"Blanco County, Texas",5001,9.08,23.78,32.85,67.15
Texas,TX,Borden,48033.0,"Borden County, Texas",239,6.28,32.64,38.91,61.09
